Name,Year,University,Advisor,Program,Rocket1,Rocket2,Rocket3,Rocket4,Rocket5
"Adrian, Mark L.",1993,Iowa,"Van Allen, James A.",,,,,,
"Ajello, Joseph M.",1969,Colorado,"Barth, Charles A.",Aeronomy/Solar Research,,,,,
"Allen, Maxwell",1994,Stanford University,"Walker, Arthur B. C.",Solar sounding rocket work conducted with Black Brants at WSMR,36.049,36.091,,,
"Almy, Richard",1998,University of Wisconsin,"McCammon, Dan",,,,,,
"Anderson, James G.",1970,Michigan,"Sharp, William E.",Aeronomy,,,,,
"Apostolis, John",1971,New Hampshire,"Arnold, Roger",Cosmic Rays,,,,,
"Bahcivan, Hasan",2005,Cornell,"Hysell, Dave",,,,,,
"Bailey, Scott",1995,Colorado,"Woods, Tom",Solar EUV,,,,,
"Bale, Stuart",1992,Minnesota,"Cahill, Laurence J. Jr.",,,,,,
"Barnum, Benjamin H.",1999,Washington,"Holzworth, Robert H.",Rocket Experiment Thunderstorm III,,,,,
"Barrett, J.",1974,Michigan,"Sharp, William E.","Photometrics, Inc.",,,,,
"Barstow, Martin",1984,Leicester,"Pounds, Kenneth",X-ray Astr,,,,,
"Beasley, Matthew",2003,Colorado,"Green, James",Imaging Spectrograph for Interstellar Shocks,36.197 UG,,,,
"Bauer, Pierre",1967,Michigan,Carignan,EE,,,,,
"Behm, Dennis",1982,Minnesota,"Cahill, Laurence J. Jr.",,,,,,
"Behring, William",1959,Colorado,Wilshusen,Solar Research,,,,,
"Beiting, Edward J. III",1978,Johns Hopkins,"Feldman, Paul D.",,4.334,13.077,,,
"Berg, Glenn",1993,Cornell,"Kelley, Michael",,,,,,
"Bering, Edgar",1973,"California, Berkeley","Carlson, Charles W.",,8.056,,,,
"Berkey, Frank",1971,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Bertiaume, Gregory",1991,Penn State,"Garmire, Gordon",,,,,,
"Bixler, Jay",1988,"California, Berkeley","Bowyer, C. S.",Far UV Background,,,,,
"Bloch, Jeff",1988,Wisconsin,"McCammon, Dan",Astrophysi,,,,,
"Bobroff, Norman",1981,CIT,"Nousek, John",Cal. Inst.,,,,,
"Boehm, Manfred",1987,"California, Berkeley","Carlson, Charles W.",,36.006,29.021,29.018,,
"Boerner, Paul",2004,Stanford University,"Walker, Arthur B. C.",Solar sounding rocket work conducted with Black Brants at WSMR,36.194,,,,
"Bohlin, Ralph",1970,Princeton,"Jenkins, Edward B.",,4.176,,,,
"Boone, Catherine",2005,Colorado,,,,,,,
"Boone, Joseph",1970,Wisconsin,Code,Ultraviolet Astronomy,,,,,
"Borken, Richard",1972,MIT,"Rappaport-Clark, Saul-Geo.",X-ray Astr,,,,,
"Bowers, Charles W.",1985,Johns Hopkins,"Feldman, Paul D.",,4.34,4.342,,,
"Bowyer, Stewart",1965,Catholic,Werntz,X-rays,,,,,
"Boyd, John S.",1973,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Boyle, C. FR.",1981,Pittsburgh,"Zipf, Edward C.",Phys &Sastr,,,,,
"Brasher, William",1969,"Texas, Dallas","Hanson, W. B.",Ion Chemistry,,,,,
"Brooks, Neil",1971,Princeton,"Jenkins, Edward B.",,4.226,,,,
"Brune , William H.",1978,Johns Hopkins,"Feldman, Paul D.",,26.05,13.124,,,
"Bruner, Elmomariln C.",1964,Colorado,Rense,Solar Research,,,,,
"Buckley, Jay L.",1969,Johns Hopkins,"Moos, Warren",,4.206,4.308,,,
"Bucsela, E.",1993,Michigan,"Sharp, William E.",Naval Research Lab,,,,,
"Budzien, Scott A.",1992,Johns Hopkins,"Feldman, Paul D.",Hitchhiker,STS-39,,,,
"Bunting, Dave",1972,"Texas, Dallas","Heikkila, W. J.",Plasma Probe Study,,,,,
"Burgh, Eric B.",2001,Johns Hopkins,"Feldman, Paul D.",UV Dust Scattering,36.156,36.136,36.186,36.198,
"Burkhead, Martin",1964,Wisconsin,Code,Ultraviolet Astronomy,,,,,
"Burnett, Byron",1970,MIT,"Bradt, Hale",X-ray Astr,,,,,
"Burrows, Dave",1982,Wisconsin,"Kraushaar, Bill",,,,,,
"Burstein, Paul H.",1976,Wisconsin,"Kraushaar, Bill",,13.084,,,,
"Buscela, Eric",1993,Michigan,"Sharp, William E.",Aeronomy,27.122,,,,
"Bush, Rock O.",1983,"California, Berkeley","Carlson, Charles W.",Porcupine,,,,,
"Cageao, Richard",1989,Michigan,"Sharp, William E.",Aeronomy,33.056,,,,
"Cahill, Laurence J. Jr.",1959,Iowa,"Van Allen, James A.",,,,,,
"Caldwell, John",1971,Wisconsin,Code,Ultraviolet Astronomy,,,,,
"Carlson, Charles W.",1974,"California, Berkeley","Carlson, Charles W.",,8.056,18.035,18.036,18.037,
"Carnahan, Byron C.",1977,Pittsburgh,"Zipf, Edward C.",Ionos. Data Interpretation,,,,,
"Cartwright, David",1972,Minnesota,Winckler,,,,,,
"Cash, Webster",1978,"California, Berkeley","Bowyer, C. S.",EUV Astronomy,,,,,
"Casserly, Raymond T. Jr.",1975,Rice,"Anderson, Andrew B.",,18.112,,,,
"Cawley, Laura",1998,Penn State,"Burrows, David",,,,,,
"Cebula, Richard P.",1983,Johns Hopkins,"Feldman, Paul D.",,25.039,21.074,,,
"Cesiano, Jean",1975,Rice,"Anderson, Andrew B.",,18.111,,,,
"Chakrabarti, Supriya",1982,"California, Berkeley","Bowyer, C. S.",Geocoronal H+ Emission,,,,,
"Chang, Tieh C.",1970,Maryland,Bettinger,Ionospheric Parameters,18.012,,,,
"Chappell, Charles R.",1969,Rice,"Anderson, Andrew B.",,8.047,,,,
"Chase, Lee",1969,"California, Berkeley","Carlson, Charles W.",,18.036,18.037,,,
"Cho, John",1993,Cornell,"Kelley, Michael",,,,,,
"Choy, Lawrence",1971,New Hampshire,"Arnoldy, Roger",,18.091,18.092,18.093,,
"Clarke, John T.",1980,Johns Hopkins,"Feldman, Paul D.",,25.038,,,,
"Cleary, David D.",1985,Colorado,"Barth, Charles A.",LASP,,,,,
"Clemmons, James H.",1992,"California, Berkeley","Carlson, Charles W.",,35.009,,,,
"Cloutier, Paul",1967,Rice,"Anderson, Andrew B.",,14.242,14.243,,,
"Coleman, Philip",1970,Wisconsin,"Kraushaar, Bill",,4.175,,,,
"Coleson, Robert",1970,Southern California,Judge,Earth Day Glow,18.11,,,,
"Conway, Robert R.",1980,Colorado,"Barth, Charles A.",,,,,,
"Cook, Timothy",1991,Colorado,"Sharp, William E.",GALACASTRN,,,,,
"Cordova, France",1979,CIT,"Nousek, John",Cal. Inst.,,,,,
"Costa, Emanuel",1978,Cornell,"Kelley, Michael",,,,,,
"Cotton, Daniel",1991,"California, Berkeley","Chakrabarti, Supriya",,,,,,
"Countryman, Ian D.",1979,Illinois,"Bowhill, Sidney A.",,,,,,
"Cresswell, George R.",1968,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Crowder, Gwynne",2012,Wisconsin,"McCammon, Dan",Galactic diffuse X-ray background,36.223,,,,
"Cui, Wei",1994,Wisconsin,"McCammon, Dan",,,,,,
"Cunningham, Nathaniel",2007,Colorado,"Green, James",Extended Shocks Within One Kiloparsec: Instrumentation and Observations,,,,,
"Dade, Anil",1969,"California, San Diego",McIlwain,Auroral Particles,,,,,
"Datta, Suvro",1995,Washington,,,,,,,
"Davis, John E.",1976,Wisconsin,Code,Ultraviolet Astronomy,,,,,
"Deehr, Charles S.",1968,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Defise, Jean Marc",1999,Belgium,,,,,,,
"Deforest, Craig",1995,Stanford University,"Walker, Arthur B. C.",Solar sounding rocket work conducted with Black Brants at WSMR,36.049,36.091,,,
"Delory, Gregory",1996,"University of California, Berkeley","Carlson, Charles","Rocket Observations of VLF Bursts, Electron Precipitation and Ion Heating in the Auroral Ionosphere",,,,,
"Dieter, Kita",1981,Wisconsin,"Sharp, William E.",Chemistry,4.339,,,,
"Doe, Rick",1993,Boston,"Mendillo, Michael J.",Auroral Physics,,,,,
"Doxsey, Rodger",1974,MIT,"Rappaport, Saul",X-ray Astr,,,,,
"Durrance, Samuel T.",1980,Colorado,"Barth, Charles A.",Astro-GEOP,,,,,
"Dusenberry, Paul",1977,New Hampshire,"Arnoldy, Roger",,18.152,,,,
"Dymond, Kenneth F.",1989,Johns Hopkins,"Feldman, Paul D.",,21.093,21.095,,,
"Earle, Gregory",1988,Cornell,"Kelley, Michael",,,,,,
"Eastes, Richard W.",1985,Johns Hopkins,"Feldman, Paul D.",,25.046,29.017,,,
"Eaton, Joel",1975,Wisconsin,Code,Ultraviolet Astronomy,,,,,
"Edelstein, Jerry",1992,"California, Berkeley","Bowyer, C. S.",Diffuse Far UV Bckgrnd,36.06,,,,
"Edgar, Richard",1985,Wisconsin,"Cox, Don",Astrophysi,,,,,
"Edmonson, B.",1977,Johns Hopkins,Fastie,,13.077,,,,
"Edwards, Brad",1990,Wisconsin,"McCammon, Dan",Astrophysi,,,,,
"El-Agamawi, Mohsen",1988,Pittsburgh,"Zipf, Edward C.",Phys & Astro,,,,,
"El-Ganayni, Abdel",1990,Pittsburgh,"Zipf, Edward C.",Phys & Astro,,,,,
"Ellis, Robert A. Jr.",1954,Iowa,"Van Allen, James A.",Cosmic Ray/Rockoon,,,,,
"Eltamsahy, Adel",1968,Michigan,Carignan,EE,,,,,
"Enge, per K.",1983,Illinois,"Bowhill, Sidney A.",,,,,,
"Eparvier, Francis G.",1991,Colorado,"Barth, Charles A.",Aeronomy,,,,,
"Erdman, Peter",1979,Pittsburgh,"Zipf, Edward C.",Auroral Studies,,,,,
"Ergun, Robert",1989,"California, Berkeley","Carlson, Charles W.",,35.023,,,,
"Erlandson, Robert",1986,Minnesota,"Cahill, Laurence J. Jr.",,,,,,
"Espy, Patrick",1977,Pittsburgh,"Zipf, Edward C.",Auroral Studies,,,,,
"Estler, Ronald",1976,Johns Hopkins,"Feldman, Paul D.",,4.344,,,,
"Fabricant, Daniel",1978,Harvard,"Gorenstein, Paul",,27.031,,,,
"Fildes, Roger D.",1979,Illinois,"Bowhill, Sidney A.",,,,,,
"Fink, Richard",1988,Penn State,"Garmire, Gordon",,,,,,
"Finn, Thomas G.",1973,Johns Hopkins,"Feldman, Paul D.",,,,,,
"France, Kevin",2006,Johns Hopkins,"Feldman, Paul D.",Molecular Hydrogen Fluorescence,36.198,36.208,36.22,,
"Freeman, Jay",1979,"California, Berkeley","Bowyer, C. S.",Solar PBYS/Study of ISM Inflow Thrusolsys,,,,,
"Fried, Peter",1978,Wisconsin,"Kraushaar, Bill",,13.102,,,,
"Gallagher, Dennis",1993,Colorado,Webster Cash,HIENRGASTR,,,,,
"Gallagher, John S. III",1972,Wisconsin,Scherb,Ultraviolet Astronomy,,,,,
"Garbe, Greg",1990,New Hampshire,"Arnoldy, Roger",Auroral,,,,,
"Garrido, Dante",1993,Alaska,"Westcott, Eugene M.",,29.016UE,,,,
"Gastman, Irvin",1974,Michigan,Carignan,Aeronomy,,,,,
"Gelpi, Craig",1983,Houston,"Bering, Edgar A. III",,29.007,,,,
"Gibbs, Kenneth P.",1983,Illinois,"Bowhill, Sidney A.",,,,,,
"Giles, John W. Jr.",1974,Johns Hopkins,"Moos, Warren",,13.047,,,,
"Gilra, Daya P.",1972,Wisconsin,Code,Ultraviolet Astronomy,,,,,
"Glesener, Lindsay",2012,"California, Berkeley",Bob Lin / SŠm Krucker,Solar Flares (FOXSI),36.255,,,,
"Goerke, Roger",1992,Minnesota,"Kellogg, Pauleth J.",,,,,,
"Golshan, Nasser",1974,Illinois,"Bowhill, Sidney A.",,,,,,
"Gonzales, Cesar",1979,Cornell,"Kelley, Michael",,,,,,
"Good, R. EA.",1974,Colorado,"Barth, Charles A.",Aeronomy,,,,,
"Gorman, Michael R.",1981,Pittsburgh,"Zipf, Edward C.",Phys & Astro,,,,,
"Green, James",1989,"California, Berkeley","Bowyer, C. S.",EUV Spectrosc. of Hot White CDWA,,,,,
"Grossman, Barry G.",1977,Illinois,"Bowhill, Sidney A.",,,,,,
"Guenther, Bruce",1974,Pittsburgh,"Zipf, Edward C.",Atomic Oxygen,,,,,
"Guha, Dipak",1972,Illinois,"Bowhill, Sidney A.",,,,,,
"Gunderson, Kurt",2000,Colorado,"Green, James C.",GALACASTRN,,,,,
"Gutcheck, Robert",1971,Pittsburgh,"Zipf, Edward C.",N2 Auroral Properties,,,,,
"Hall, Timothy",1991,Cornell,"Kelley, Michael",,,,,,
"Hallinan, Thomas",1976,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Han, Sang-In",1999,University of Wisconsin,"McCammon, Dan",,,,,,
"Hartig, George F. Jr.",1978,Johns Hopkins,"Feldman, Paul D.",,21.054,21.056,21.059,24.01,
"Hassler, Donald M.",1990,Colorado,"Sharp, William E.",Solar Research,,,,,
"Hecquet, Christophe",2009,Univ. of Paris XI,,,,,,,
"Hedin, A. E.",1966,Minnesota,Cahill & Nier,,4.127,,,,
"Hendrickson, R. A.",1972,Minnesota,Winckler,,,,,,
"Henry, Patrick",1975,"California, Berkeley","Bowyer, C. S.",EUV Survey,,,,,
"Hess, Garry C.",1976,Illinois,"Bowhill, Sidney A.",,,,,,
"Hicks, Brian",2012,Boston,"Chakrabarti, Supriya",REDDIE project,36.225,,,,
"Hickman, D. R.",1971,Minnesota,Cahill & Nier,,4.272,4.273,,,
"Hill, Reginald",1976,Illinois,"Bowhill, Sidney A.",,,,,,
"Hill, Steve",1999,Colorado,,,,,,,
"Hinton, B. B.",1975,Michigan,Carignan,Aeronomy,,,,,
"Holberg, Jay",1975,"California, Berkeley","Bowyer, C. S.",Diffuse Far UV Background,,,,,
"Hord, C. W.",1964,Colorado,Wilshusen,Solar Research,,,,,
"Hsu, Lan-Sheng",1992,Pittsburgh,"Zipf, Edward C.",Phys. & Astro,,,,,
"Huang, Frank",1970,Maryland,Bettinger,Ionospheric Parameters,18.012,,,,
"Huang, Philip",1969,Maryland,Bettinger,Ionospheric Parameters,18.012,,,,
"Hurwitz, Mark",1990,"California, Berkeley","Bowyer, C. S.",Diffuse Far UV Bckgrnd,,,,,
"Hutchinson, James L.",1974,Wisconsin,Code,Ultraviolet Astronomy,,,,,
"Indebetuow, Remy",2001,Colorado,,,,,,,
"Iwan, Deann",1978,Wisconsin,"Kraushaar, Bill",,,,,,
"Jahn, Jorg-Micha",1997,Dartmouth College,Jim LaBelle,GUARA High Altitude Spread F Ionosphere mission,35.030IE,,,,
"Jahoda, Keith",1986,Wisconsin,"McCammon, Dan",Astrophysi,,,,,
"Jakobsen, Peter",1983,"California, Berkeley","Bowyer, C. S.",Diffuse EUV Background,,,,,
"Jelinsky, Patrick",1988,"California, Berkeley","Bowyer, C. S.",EUV Spectroscopy,,,,,
"Jew, Howard",1968,Michigan,Carignan,Aero,,,,,
