Authors,Date,Title,Flight,Journal,Reference,DOI,Link
"Grubbs, G., R. Michell, M. Samara, D. Hampton, J. Hecht, S. Solomon, and J.-M. Jahn",2017,Predicting electron population characteristics in 2-d using multi-spectral ground-based imaging,GREECE,Geophys. Res. Lett.,,10.1002/2017GL075873,http://onlinelibrary.wiley.com/doi/10.1002/2017GL075873/full
"Ishikawa, S., Glesener, L., Krucker, S., Christe, S., Buitrago-Casas, C., Narukage, N., and Vievering, J.",2017,Detection of nanoflare-heated plasma in the solar corona by the FOXSI-2 sounding rocket,FOXSI,Nature-Astronomy,vol. 1 p. 771,10.1038/s41550-017-0269-z,https://www.nature.com/articles/s41550-017-0269-z
"Ogasawara, K., G. Livadiotis, G. A. Grubbs, J.-M. Jahn, R. Michell, M. Samara, J. R. Sharber, and J. D. Winningham",2017,Properties of suprathermal electrons associated with discrete auroral arcs,GREECE,Geophys. Res. Lett.,vol. 44 p.3475,10.1002/2017GL072715,http://onlinelibrary.wiley.com/doi/10.1002/2017GL072715/abstract
"Ogasawara, K., S. A. Livi, F. Allegrini, T. W. Broiles, M. A. Dayeh, M. I. Desai, R. W. Ebert, K. Llera, S. K. Vines, and D. J. McComas",2016,Next-generation solid-state detectors for charged particle spectroscopy,GREECE, J. Geophys. Res. Space Physics,vol. 121 p.6075,10.1002/2016JA022559,http://onlinelibrary.wiley.com/doi/10.1002/2016JA022559/full
"Michell, R. G., M. Samara, G. Grubbs II, K. Ogasawara, G. Miller, J. A. Trevino, J. Webster, and J. Stange",2016,APES: Acute Precipitating Electron Spectrometer-A high time resolution monodirectional magnetic deflection electron spectrometer,GREECE,J. Geophys. Res. Space Physics,vol. 121 p.5959,10.1002/2016JA022637,http://onlinelibrary.wiley.com/doi/10.1002/2016JA022637/abstract
"Ogasawara, K., G. Grubbs II, M. G. Robert, M. Samara, S. L. Jason, J. A. Trevino, J. Webster, and J.-M. Jahn",2016,Development and performance of a suprathermal electron spectrometer to study auroral precipitations,GREECE,Rev. Sci. Instrum.,vol. 87 p.53307,10.1063/1.4950901,http://aip.scitation.org/doi/abs/10.1063/1.4950901
"Grubbs, G.",2016,Magnetosphere-ionosphere coupling during active aurora,GREECE,Ph.D. Thesis,"Univ. of Texas, San Antonio",,
"Collier, M. R.,  D. Chornay, J. Clemmons, J.W. Keller, J. Klenzing, J. Kujawski, J. McLain, R. Pfaff, D. Rowland, and M. Zettergren",2015,VISIONS remote observations of a spatially-structured filamentary source of energetic neutral atoms near the polar cap boundary during an auroral substorm,VISIONS,Adv. In Space Research,vol. 56 p. 2097,10.1016/j.asr.2015.08.010,http://www.sciencedirect.com/science/article/pii/S0273117715005943
"Brosius, J.W., Daw, A.N. and Rabin, D.M.",2014,Pervasive Faint Fe XIX Emission from a Solar Active Region Observed with EUNIS-13: Evidence for Nanoflare Heating,EUNIS,ApJ,vol. 790 p.112,10.1088/0004-637X/790/2/112,http://adsabs.harvard.edu/abs/2014ApJ...790..112B
"Ishikawa, S., Glesener, L., Christe, S., Ishibashi, K., Brooks, D.H., Williams, D.R., Shimojo, M., Sako, N., and Krucker, S.",2014,Constraining hot plasma in a non-flaring solar active region with FOXSI hard X-ray observations,FOXSI,PASP,vol. 66,,http://adsabs.harvard.edu/abs/2014PASJ...66S..15I
"Glesener, L.",2012,Faint Coronal Hard X-rays From Accelerated Electrons in Solar Flares,FOXSI,PhD Thesis,,,http://adsabs.harvard.edu/abs/2012PhDT.......218G
"Wang, T., Brosius, J.W., Thomas, R.J., Rabin, D.M. and Davila, J.M.",2010,Absolute Radiometric Calibration of the EUNIS-06 170-205 Angstrom Channel and Calibration Update for Coronal Diagnostic Spectrometer/Normal-Incidence Spectrometer,EUNIS,ApJ Suppl,vol. 186 p.222,10.1088/0067-0049/186/2/222,http://adsabs.harvard.edu/abs/2010ApJS..186..222W
"Jess, D.B., Rabin, D.M., Thomas, R.J., Brosius, J.W., Mathioudakis, M. and Keenan, F.P.",2008,Transition Region Velocity Oscillations Observed by EUNIS-06,EUNIS,ApJ,vol. 682 p.1363,10.1086/589231,http://adsabs.harvard.edu/abs/2008ApJ...682.1363J
"Brosius, J.W., Rabin, D.M. and Thomas, R.J.",2008,Rapid Cadence EUNIS-06 Observations of a He II Transient Brightening in the Quiet Sun,EUNIS,ApJ,vol. 682 p.630,10.1086/589281,http://adsabs.harvard.edu/abs/2008ApJ...682..630B
"Brosius, J.W., Rabin, D.M., Thomas, R.J. and Landi, E. ",2008,Analysis of a Solar Coronal Bright Point Extreme Ultraviolet Spectrum from the EUNIS Sounding Rocket Instrument,EUNIS,ApJ,vol. 677 p.781,10.1086/528930,http://adsabs.harvard.edu/abs/2008ApJ...677..781B
"Jordan, S.D. and Brosius, J.W.",2007,EUNIS Results on He II 304 Angstrom Line Formation,EUNIS,The Physics of Chromospheric Plasmas,vol. 368,,http://adsabs.harvard.edu/abs/2007ASPC..368..183J
"Brosius, J.W., Rabin, D.M. and Thomas, R.J.",2007,Doppler Velocities Measured in Coronal Emission Lines from a Bright Point Observed with the EUNIS Sounding Rocket,EUNIS,ApJ Lett,vol. 656 p. L41,10.1086/512185,http://adsabs.harvard.edu/abs/2007ApJ...656L..41B
